,,Latinx Population,White Population,Native American Population,Asian Population,Black Population,Number of Air BnB Listings
2011,11101,17888.0,30239.0,668.0,17710.0,11933.0,0.0
2011,11102,23256.0,53682.0,1304.0,21660.0,7466.0,0.0
2011,11103,17992.0,77658.0,409.0,18015.0,3041.0,0.0
2011,11104,13698.0,44721.0,272.0,31334.0,1115.0,0.0
2011,11105,17620.0,84692.0,396.0,15090.0,2548.0,0.0
2011,11106,20998.0,59835.0,527.0,25928.0,9104.0,0.0
2011,11109,722.0,6379.0,0.0,1950.0,393.0,0.0
2011,11201,12894.0,103346.0,894.0,19886.0,22801.0,0.0
2011,11203,9544.0,9997.0,674.0,4286.0,218336.0,0.0
2011,11204,16154.0,159689.0,463.0,83449.0,2062.0,0.0
2011,11205,17618.0,55420.0,687.0,8151.0,39127.0,0.0
2011,11206,71548.0,87356.0,1263.0,16584.0,64796.0,0.0
2011,11207,60398.0,27781.0,2735.0,4048.0,173724.0,0.0
2011,11208,81796.0,64704.0,1054.0,19410.0,134659.0,0.0
2011,11209,20896.0,165981.0,1407.0,35472.0,4514.0,0.0
2011,11210,8754.0,68893.0,678.0,8045.0,109405.0,0.0
2011,11211,49302.0,215225.0,1444.0,12961.0,10976.0,0.0
2011,11212,25050.0,9850.0,1289.0,2799.0,204496.0,0.0
2011,11213,11964.0,36392.0,637.0,2636.0,133710.0,0.0
2011,11214,18952.0,135434.0,1728.0,105376.0,2629.0,0.0
2011,11215,23258.0,145696.0,843.0,19087.0,11422.0,0.0
2011,11216,10152.0,18212.0,1915.0,7956.0,123921.0,0.0
2011,11217,16656.0,61738.0,1396.0,10810.0,27752.0,0.0
2011,11218,30756.0,131546.0,1491.0,52590.0,23120.0,0.0
2011,11219,21752.0,182582.0,740.0,97823.0,3934.0,0.0
2011,11220,79636.0,87403.0,5145.0,160951.0,9340.0,0.0
2011,11221,63748.0,44406.0,864.0,8999.0,123976.0,0.0
2011,11222,8934.0,84033.0,1061.0,8063.0,2220.0,0.0
2011,11223,17654.0,144142.0,1003.0,68321.0,7219.0,0.0
2011,11224,14508.0,79105.0,834.0,11015.0,34752.0,0.0
2011,11225,10604.0,23887.0,702.0,4797.0,137168.0,0.0
2011,11226,32120.0,27190.0,1288.0,13528.0,226280.0,0.0
2011,11228,8420.0,86914.0,286.0,42082.0,2079.0,0.0
2011,11229,12722.0,163148.0,364.0,62099.0,10425.0,0.0
2011,11230,17968.0,184868.0,592.0,39910.0,23709.0,0.0
2011,11231,16554.0,64548.0,225.0,8725.0,14903.0,0.0
2011,11232,33852.0,31375.0,563.0,13978.0,5357.0,0.0
2011,11233,20536.0,7149.0,981.0,3482.0,165018.0,0.0
2011,11234,14472.0,131366.0,2383.0,15642.0,125324.0,0.0
2011,11235,11746.0,167062.0,892.0,41108.0,6204.0,0.0
2011,11236,15064.0,21179.0,644.0,11400.0,238000.0,0.0
2011,11237,81258.0,31899.0,392.0,12897.0,10560.0,0.0
2011,11238,11304.0,57406.0,640.0,15378.0,71135.0,0.0
2011,11239,6448.0,12917.0,78.0,712.0,18636.0,0.0
2011,11351,0.0,0.0,0.0,0.0,0.0,0.0
2011,11354,17708.0,43418.0,1257.0,122355.0,7453.0,0.0
2011,11355,25540.0,42938.0,3651.0,226376.0,8603.0,0.0
2011,11356,15364.0,32823.0,120.0,21646.0,1138.0,0.0
2011,11357,10352.0,92463.0,426.0,27378.0,1076.0,0.0
2011,11358,10418.0,57072.0,432.0,61724.0,2261.0,0.0
2011,11359,0.0,0.0,0.0,0.0,0.0,0.0
2011,11360,3166.0,39640.0,108.0,26315.0,658.0,0.0
2011,11361,8782.0,48993.0,690.0,34828.0,3006.0,0.0
2011,11362,4024.0,29667.0,123.0,25102.0,1321.0,0.0
2011,11363,1628.0,12628.0,0.0,9228.0,177.0,0.0
2011,11364,5742.0,51366.0,619.0,63934.0,2102.0,0.0
2011,11365,13542.0,45505.0,524.0,72638.0,9662.0,0.0
2011,11366,2826.0,19809.0,188.0,22303.0,3791.0,0.0
2011,11367,11976.0,65239.0,721.0,32935.0,13942.0,0.0
2011,11368,148092.0,102134.0,3177.0,49114.0,37364.0,0.0
2011,11369,49680.0,22437.0,1029.0,20694.0,22039.0,0.0
2011,11370,28942.0,37184.0,1035.0,30200.0,20592.0,0.0
2011,11371,0.0,0.0,0.0,0.0,0.0,0.0
2011,11372,70992.0,80686.0,1155.0,59207.0,4949.0,0.0
2011,11373,80216.0,85627.0,1114.0,188267.0,4304.0,0.0
2011,11374,13352.0,78066.0,1366.0,45252.0,4226.0,0.0
2011,11375,15970.0,128459.0,1606.0,75426.0,5950.0,0.0
2011,11377,67384.0,102296.0,1309.0,125575.0,8864.0,0.0
2011,11378,16496.0,77885.0,322.0,11286.0,948.0,0.0
2011,11379,11922.0,85038.0,337.0,10059.0,1936.0,0.0
2011,11385,91122.0,205312.0,1059.0,26561.0,6795.0,0.0
2011,11411,1686.0,2067.0,219.0,1418.0,56779.0,0.0
2011,11412,4076.0,1983.0,1275.0,3199.0,100292.0,0.0
2011,11413,3306.0,3211.0,767.0,1371.0,112365.0,0.0
2011,11414,12022.0,69823.0,505.0,2550.0,3312.0,0.0
2011,11415,10496.0,31716.0,184.0,11407.0,4575.0,0.0
2011,11416,20980.0,18216.0,308.0,30994.0,5820.0,0.0
2011,11417,20626.0,34790.0,1242.0,31658.0,7519.0,0.0
2011,11418,31226.0,37263.0,867.0,30433.0,12442.0,0.0
2011,11419,16268.0,15037.0,2353.0,65934.0,27217.0,0.0
2011,11420,23384.0,21754.0,1952.0,36649.0,42355.0,0.0
2011,11421,46900.0,40716.0,552.0,28786.0,7972.0,0.0
2011,11422,4426.0,8693.0,180.0,5017.0,78975.0,0.0
2011,11423,10740.0,14863.0,2203.0,29557.0,37962.0,0.0
2011,11424,0.0,0.0,0.0,0.0,0.0,0.0
2011,11425,0.0,0.0,0.0,0.0,0.0,0.0
2011,11426,6340.0,24832.0,691.0,30115.0,2586.0,0.0
2011,11427,7284.0,20315.0,478.0,33407.0,20065.0,0.0
2011,11428,10116.0,13663.0,2113.0,24890.0,13889.0,0.0
2011,11429,6282.0,5998.0,1210.0,4919.0,72803.0,0.0
2011,11430,42.0,18.0,0.0,0.0,88.0,0.0
2011,11432,29252.0,34116.0,2511.0,84531.0,31319.0,0.0
2011,11433,8562.0,1860.0,1594.0,5724.0,69198.0,0.0
2011,11434,11382.0,4979.0,956.0,4933.0,159975.0,0.0
2011,11435,33896.0,33880.0,1103.0,49640.0,39691.0,0.0
2011,11436,3710.0,1541.0,775.0,4564.0,37978.0,0.0
