,rent,borough,zip,year
295,3916.0,new york,10001.0,2022
296,4263.0,new york,10003.0,2022
297,4018.0,new york,10016.0,2022
298,3404.0,new york,10016.0,2022
299,3900.0,queens,10001.0,2022
300,1625.0,queens,11691.0,2022
301,3710.0,new york,10001.0,2022
302,3402.0,new york,10005.0,2022
303,3398.0,new york,10005.0,2022
304,3025.0,brooklyn,11217.0,2022
305,3449.0,queens,10036.0,2022
306,3664.0,queens,11101.0,2022
307,3506.0,brooklyn,11201.0,2022
308,3089.0,brooklyn,11201.0,2022
309,3095.0,new york,10016.0,2022
310,3074.0,brooklyn,11217.0,2022
311,3136.0,brooklyn,11201.0,2022
312,3500.0,brooklyn,11201.0,2022
313,3437.0,queens,10025.0,2022
314,5075.0,brooklyn,11201.0,2022
315,3911.0,new york,10011.0,2022
316,5051.0,queens,11101.0,2022
317,3233.0,brooklyn,11235.0,2022
318,4701.0,queens,10023.0,2022
319,4494.0,brooklyn,11211.0,2022
320,4040.0,queens,10018.0,2022
321,2900.0,queens,11105.0,2022
322,4101.0,queens,10128.0,2022
323,6752.0,brooklyn,11249.0,2022
324,2503.0,queens,10543.0,2022
325,2900.0,queens,11558.0,2022
326,2350.0,queens,11542.0,2022
327,2691.0,queens,11542.0,2022
328,2744.0,queens,11590.0,2022
329,2450.0,queens,11572.0,2022
330,3120.0,queens,11570.0,2022
331,3235.0,queens,11530.0,2022
332,3350.0,queens,11558.0,2022
333,2907.0,queens,11550.0,2022
334,4399.0,queens,11590.0,2022
335,2614.0,queens,11542.0,2022
336,3590.0,queens,11570.0,2022
337,2575.0,queens,7020.0,2022
338,2709.0,queens,7020.0,2022
339,2939.0,queens,7020.0,2022
340,2970.0,queens,11557.0,2022
341,,bronx,10463.0,2022
342,,bronx,10453.0,2022
343,,bronx,10456.0,2022
344,,bronx,10456.0,2022
345,,bronx,10463.0,2022
346,,bronx,10453.0,2022
347,,bronx,10467.0,2022
348,,bronx,10452.0,2022
349,,bronx,10467.0,2022
350,,bronx,10454.0,2022
351,,bronx,10454.0,2022
352,,bronx,10456.0,2022
353,,bronx,10463.0,2022
354,,bronx,10467.0,2022
355,,bronx,10451.0,2022
356,,bronx,10455.0,2022
357,,bronx,10451.0,2022
358,,bronx,10469.0,2022
359,,bronx,10454.0,2022
360,,bronx,10468.0,2022
361,,bronx,10465.0,2022
362,,bronx,10466.0,2022
363,,bronx,10458.0,2022
364,,bronx,10456.0,2022
365,,bronx,10462.0,2022
366,,bronx,10463.0,2022
367,,bronx,10471.0,2022
368,,bronx,10468.0,2022
369,,bronx,10468.0,2022
370,,bronx,10463.0,2022
371,,bronx,10456.0,2022
372,,bronx,10462.0,2022
373,,bronx,10471.0,2022
374,,bronx,10456.0,2022
375,,bronx,10465.0,2022
376,,bronx,10457.0,2022
377,,bronx,10466.0,2022
378,,bronx,10458.0,2022
379,,bronx,10458.0,2022
380,,bronx,10467.0,2022
381,,bronx,10468.0,2022
382,,bronx,10453.0,2022
383,,bronx,10452.0,2022
384,,bronx,10453.0,2022
385,,bronx,10468.0,2022
386,,bronx,10462.0,2022
387,,bronx,10452.0,2022
388,,bronx,10461.0,2022
389,,bronx,10468.0,2022
390,,bronx,10451.0,2022
391,,bronx,10452.0,2022
392,,bronx,10457.0,2022
393,,bronx,10458.0,2022
394,,bronx,10463.0,2022
395,,bronx,10469.0,2022
396,,bronx,10462.0,2022
397,,bronx,10463.0,2022
398,,bronx,10451.0,2022
399,,bronx,10471.0,2022
400,,bronx,10471.0,2022
401,,bronx,10463.0,2022
402,,bronx,10458.0,2022
403,,bronx,10454.0,2022
404,,bronx,10459.0,2022
405,,bronx,10461.0,2022
406,,bronx,10454.0,2022
407,,bronx,10470.0,2022
408,,bronx,10451.0,2022
409,,bronx,10460.0,2022
410,,bronx,10471.0,2022
411,,bronx,10451.0,2022
412,,bronx,10458.0,2022
413,,bronx,10454.0,2022
414,,bronx,10463.0,2022
415,,bronx,10459.0,2022
416,,bronx,10454.0,2022
417,,bronx,10454.0,2022
418,,bronx,10469.0,2022
419,,bronx,10459.0,2022
420,,bronx,10463.0,2022
421,,bronx,10471.0,2022
422,,bronx,10464.0,2022
423,,bronx,10463.0,2022
424,,bronx,10471.0,2022
425,,bronx,10454.0,2022
426,,bronx,10458.0,2022
427,,bronx,10457.0,2022
428,,bronx,10455.0,2022
429,,bronx,10456.0,2022
430,,bronx,10456.0,2022
431,,bronx,10456.0,2022
432,,bronx,10471.0,2022
433,,bronx,10454.0,2022
434,,bronx,10468.0,2022
435,,bronx,10471.0,2022
436,,bronx,10461.0,2022
437,,bronx,10453.0,2022
438,,bronx,10454.0,2022
439,,bronx,10458.0,2022
440,,bronx,10456.0,2022
441,,bronx,10454.0,2022
442,,bronx,10454.0,2022
443,,bronx,10458.0,2022
444,,bronx,10456.0,2022
445,,bronx,10471.0,2022
446,,bronx,10458.0,2022
447,,bronx,10455.0,2022
448,,bronx,10463.0,2022
449,,bronx,10463.0,2022
450,,bronx,10452.0,2022
451,,bronx,10458.0,2022
452,,bronx,10459.0,2022
453,,bronx,10463.0,2022
454,,bronx,10461.0,2022
455,,bronx,10454.0,2022
456,,bronx,10460.0,2022
457,,bronx,10452.0,2022
458,,bronx,10466.0,2022
459,,bronx,10471.0,2022
460,,bronx,10456.0,2022
461,,bronx,10461.0,2022
462,,bronx,10470.0,2022
463,,bronx,10452.0,2022
464,,bronx,10462.0,2022
465,,bronx,10458.0,2022
466,,bronx,10461.0,2022
467,,bronx,10458.0,2022
468,,bronx,10453.0,2022
469,,bronx,10458.0,2022
470,,bronx,10458.0,2022
471,,bronx,10465.0,2022
472,,bronx,10457.0,2022
473,,bronx,10471.0,2022
474,,bronx,10452.0,2022
475,,bronx,10455.0,2022
476,,bronx,10456.0,2022
477,,bronx,10456.0,2022
478,,bronx,10458.0,2022
479,,bronx,10467.0,2022
480,,bronx,10472.0,2022
481,,bronx,10465.0,2022
482,,bronx,10453.0,2022
483,,bronx,10463.0,2022
484,,bronx,10465.0,2022
485,,bronx,10469.0,2022
486,,bronx,10467.0,2022
