zipcode,year,borough,rent,home_value,count
10466,2022,BRONX,1946.7142857142858,560980.3,119
10467,2015,BRONX,1358.46,286850.5,70
10467,2016,BRONX,1433.7833333333333,295318.9166666667,57
10467,2017,BRONX,1549.025,324620.0,44
10467,2018,BRONX,1643.7666666666667,360789.5833333333,54
10467,2019,BRONX,1712.6416666666667,392851.9166666667,58
10467,2020,BRONX,1798.5333333333333,411901.9166666667,59
10467,2021,BRONX,1850.1166666666666,434393.3333333333,77
10467,2022,BRONX,1950.8,455648.8,88
10468,2022,BRONX,1796.5166666666667,339862.6,65
10469,2022,BRONX,1883.0111111111112,592184.8,122
10471,2022,BRONX,2323.057142857143,748826.8,15
10472,2022,BRONX,2164.625,627061.7,18
10473,2022,BRONX,2450.05,521522.2,62
11004,2022,QUEENS,5000.0,759113.1,6
11101,2015,QUEENS,2753.7699999999995,699931.8333333334,132
11101,2016,QUEENS,2826.2083333333335,759180.4166666666,131
11101,2017,QUEENS,2879.5,794348.4166666666,51
11101,2018,QUEENS,2873.933333333333,797617.25,112
11101,2019,QUEENS,3050.308333333333,805450.0,103
11101,2020,QUEENS,3059.0833333333335,799248.6666666666,76
11101,2021,QUEENS,3133.4666666666667,784913.9166666666,140
11101,2022,QUEENS,3675.246153846154,804049.0,140
11102,2015,QUEENS,2330.11,526981.5833333334,247
11102,2016,QUEENS,2351.825,573298.5833333334,218
11102,2017,QUEENS,2401.75,627005.8333333334,443
11102,2018,QUEENS,2388.0833333333335,660766.9166666666,347
11102,2019,QUEENS,2450.8500000000004,670163.9166666666,240
11102,2020,QUEENS,2441.875,666734.5,236
11102,2021,QUEENS,2382.5916666666667,676636.5,290
11102,2022,QUEENS,2640.733333333333,685213.9,351
11103,2015,QUEENS,1934.04,668012.6666666666,297
11103,2016,QUEENS,2044.125,758007.1666666666,306
11103,2017,QUEENS,2047.25,822617.0,584
11103,2018,QUEENS,2057.0249999999996,881343.5833333334,443
11103,2019,QUEENS,2120.8500000000004,905686.6666666666,326
11103,2020,QUEENS,2087.5,926216.0833333334,369
11103,2021,QUEENS,2070.0249999999996,942974.8333333334,326
11103,2022,QUEENS,2301.241666666667,992686.1,417
11104,2020,QUEENS,2009.7375,624902.25,241
11104,2021,QUEENS,1970.2333333333331,631047.1666666666,238
11104,2022,QUEENS,2327.5,660311.0,280
11105,2015,QUEENS,2292.18,759277.5,210
11105,2016,QUEENS,2334.483333333333,852561.75,197
11105,2017,QUEENS,2341.05,944436.25,381
11105,2018,QUEENS,2318.6916666666666,985832.5,256
11105,2019,QUEENS,2369.6916666666666,1004564.5,188
11105,2020,QUEENS,2341.6916666666666,1038004.1666666666,196
11105,2021,QUEENS,2261.5416666666665,1043340.9166666666,227
11105,2022,QUEENS,2428.9357142857143,1096246.6,248
11106,2015,QUEENS,2098.0899999999997,491355.75,316
11106,2016,QUEENS,2160.4,525246.5,292
11106,2017,QUEENS,2170.8500000000004,576068.75,531
11106,2018,QUEENS,2167.8999999999996,618868.3333333334,648
11106,2019,QUEENS,2237.4750000000004,646284.3333333334,294
11106,2020,QUEENS,2248.6666666666665,642368.75,291
11106,2021,QUEENS,2183.741666666667,647598.5833333334,335
11106,2022,QUEENS,2445.9,667475.3,424
11201,2015,BROOKLYN,3227.8700000000003,1324822.3333333333,343
11201,2016,BROOKLYN,3271.233333333333,1374818.75,733
11201,2017,BROOKLYN,3292.9666666666667,1278540.6666666667,499
11201,2018,BROOKLYN,3352.5,1267815.75,514
11201,2019,BROOKLYN,3488.1666666666665,1339921.0,389
11201,2020,BROOKLYN,3419.183333333333,1361641.5833333333,389
11201,2021,BROOKLYN,3508.4333333333334,1277278.6666666667,397
11201,2022,BROOKLYN,3923.4882352941177,1319598.7,453
11203,2021,BROOKLYN,2042.27,638399.0833333334,229
11203,2022,BROOKLYN,2282.75,678205.0,273
11205,2015,BROOKLYN,2496.5199999999995,734294.4166666666,473
11205,2016,BROOKLYN,2543.925,788330.5,899
11205,2017,BROOKLYN,2582.6833333333334,818825.5833333334,1126
11205,2018,BROOKLYN,2664.2083333333335,869438.8333333334,932
11205,2019,BROOKLYN,2799.5583333333334,931183.5,672
11205,2020,BROOKLYN,2780.883333333333,937073.6666666666,692
11205,2021,BROOKLYN,2778.125,934208.5,544
11205,2022,BROOKLYN,3300.3,998726.3,732
11206,2015,BROOKLYN,2915.6600000000003,859455.8333333334,724
11206,2016,BROOKLYN,2932.1499999999996,871869.6666666666,1187
11206,2017,BROOKLYN,2910.0333333333333,916044.3333333334,1119
11206,2018,BROOKLYN,2900.8333333333335,946407.8333333334,1172
11206,2019,BROOKLYN,2962.6499999999996,917810.8333333334,1110
11206,2020,BROOKLYN,2905.7166666666667,906703.5,850
11206,2021,BROOKLYN,2846.891666666667,907284.3333333334,796
11206,2022,BROOKLYN,3236.7818181818184,920709.6,996
11207,2015,BROOKLYN,2117.9100000000003,357808.6666666667,200
11207,2016,BROOKLYN,2265.6499999999996,380632.6666666667,181
11207,2017,BROOKLYN,2326.766666666667,414609.5833333333,169
11207,2018,BROOKLYN,2379.141666666667,438582.1666666667,153
11207,2019,BROOKLYN,2483.375,463651.25,101
11207,2020,BROOKLYN,2517.0916666666667,494206.1666666667,124
11207,2021,BROOKLYN,2474.483333333333,530486.0833333334,216
11207,2022,BROOKLYN,3120.4,564686.7,268
11208,2020,BROOKLYN,2027.5333333333333,586907.8333333334,76
11208,2021,BROOKLYN,2143.7,630066.5833333334,155
11208,2022,BROOKLYN,2427.66,661930.2,167
11209,2015,BROOKLYN,1740.9399999999998,721519.6666666666,79
11209,2016,BROOKLYN,1794.4250000000002,792867.0,70
11209,2017,BROOKLYN,1833.2666666666669,852887.9166666666,117
11209,2018,BROOKLYN,1879.9333333333334,889156.25,98
11209,2019,BROOKLYN,1939.1666666666667,910180.25,75
11209,2020,BROOKLYN,1939.0916666666667,876552.0,69
11209,2021,BROOKLYN,1945.8666666666666,928390.0,75
11209,2022,BROOKLYN,2035.3,988649.4,99
11210,2017,BROOKLYN,2190.4500000000003,699155.0833333334,255
11210,2018,BROOKLYN,2240.0833333333335,754672.5,179
11210,2019,BROOKLYN,2291.991666666667,772585.5833333334,149
11210,2020,BROOKLYN,2225.55,787817.5,128
11210,2021,BROOKLYN,2132.633333333333,814119.5,170
11210,2022,BROOKLYN,2203.725,858834.4,198
11211,2015,BROOKLYN,3234.86,1009364.3333333334,1858
