year,borough,zipcode,airbnb_count,rental_count,home_count,rent_avg,house_avg
2019,MANHATTAN,10023,1477,12,12,3530.3083333333334,1403723.0833333333
2019,MANHATTAN,10024,1721,12,12,3166.458333333333,1726462.0833333333
2019,MANHATTAN,10026,501,12,12,2801.9666666666667,972939.4166666666
2019,MANHATTAN,10027,417,12,12,2660.891666666667,973867.5833333334
2019,MANHATTAN,10028,1265,12,12,2901.5666666666666,1572678.0
2019,MANHATTAN,10029,332,12,12,2560.625,684806.0
2019,MANHATTAN,10030,401,12,12,2256.0916666666667,871621.6666666666
2019,MANHATTAN,10031,466,12,12,2476.55,728754.5833333334
2019,MANHATTAN,10032,658,12,12,2269.3416666666667,581325.9166666666
2019,MANHATTAN,10033,484,12,12,2371.325,646203.75
2019,MANHATTAN,10034,99,12,12,1994.0666666666664,485960.6666666667
2019,MANHATTAN,10035,117,12,12,2484.458333333333,803571.1666666666
2019,MANHATTAN,10037,290,12,12,2188.133333333333,464354.5
2019,MANHATTAN,10040,228,12,12,1928.9166666666667,556148.25
2019,MANHATTAN,10065,506,12,12,3200.258333333333,1465692.6666666667
2019,MANHATTAN,10069,109,12,12,4985.816666666667,1984795.5833333333
2019,MANHATTAN,10075,729,12,12,2488.5583333333334,1125781.4166666667
2019,MANHATTAN,10280,50,12,12,3622.308333333333,918778.8333333334
2019,MANHATTAN,10282,49,12,12,6012.1,2291999.083333333
2019,QUEENS,11101,103,12,12,3050.308333333333,805450.0
2019,QUEENS,11102,240,12,12,2450.8500000000004,670163.9166666666
2019,QUEENS,11103,326,12,12,2120.8500000000004,905686.6666666666
2019,QUEENS,11105,188,12,12,2369.6916666666666,1004564.5
2019,QUEENS,11106,294,12,12,2237.4750000000004,646284.3333333334
2019,QUEENS,11354,20,12,12,2255.5333333333333,678780.75
2019,QUEENS,11355,126,12,12,1852.925,688670.9166666666
2019,QUEENS,11374,168,12,12,2197.325,611956.9166666666
2019,QUEENS,11375,41,12,12,2186.5166666666664,850694.9166666666
2019,QUEENS,11385,247,12,12,2570.258333333333,703710.8333333334
2019,QUEENS,11435,49,12,12,1708.7166666666667,544441.5
2019,STATEN_ISLAND,10314,8,12,12,1625.4,545351.1666666666
2020,BRONX,10457,16,12,12,1824.7416666666663,496782.0833333333
