zipcode,year,borough,home_value,count
11224,2015,BROOKLYN,530562.9166666666,
11224,2016,BROOKLYN,565002.6666666666,
11224,2017,BROOKLYN,597635.25,
11224,2018,BROOKLYN,602902.4166666666,
11224,2019,BROOKLYN,629337.2,
11224,2020,BROOKLYN,631104.0833333334,
11224,2021,BROOKLYN,602616.4166666666,
11224,2022,BROOKLYN,612614.4,
11225,2015,BROOKLYN,1036868.3333333334,
11225,2016,BROOKLYN,1144649.6666666667,
11225,2017,BROOKLYN,1190122.4166666667,
11225,2018,BROOKLYN,1210101.75,
11225,2019,BROOKLYN,1258277.0,
11225,2020,BROOKLYN,1241847.75,
11225,2021,BROOKLYN,1278577.6666666667,
11225,2022,BROOKLYN,1372638.6,
11226,2015,BROOKLYN,641336.1666666666,
11226,2016,BROOKLYN,696150.8333333334,
11226,2017,BROOKLYN,749691.5,
11226,2018,BROOKLYN,778287.4166666666,
11226,2019,BROOKLYN,825612.5,
11226,2020,BROOKLYN,793846.3333333334,
11226,2021,BROOKLYN,804033.1666666666,
11226,2022,BROOKLYN,835676.9,
11228,2015,BROOKLYN,804904.0,
11228,2016,BROOKLYN,864086.25,
11228,2017,BROOKLYN,915823.8333333334,
11228,2018,BROOKLYN,950662.5833333334,
11228,2019,BROOKLYN,968549.75,
11228,2020,BROOKLYN,960748.1666666666,
11228,2021,BROOKLYN,998804.75,
11228,2022,BROOKLYN,1058924.4,
11229,2015,BROOKLYN,545587.6666666666,
11229,2016,BROOKLYN,589610.4166666666,
11229,2017,BROOKLYN,637280.1666666666,
11229,2018,BROOKLYN,678411.0833333334,
11229,2019,BROOKLYN,710380.8333333334,
11229,2020,BROOKLYN,716434.75,
11229,2021,BROOKLYN,741905.75,
11229,2022,BROOKLYN,780479.0,
11230,2015,BROOKLYN,836698.0,
11230,2016,BROOKLYN,911578.4166666666,
11230,2017,BROOKLYN,954261.3333333334,
11230,2018,BROOKLYN,995145.0833333334,
11230,2019,BROOKLYN,1055775.3333333333,
11230,2020,BROOKLYN,1024859.6666666666,
