geo_id,year,borough,zipcode,total_housing_units,occupied_housing_units,owner_occupied_units,own_occ_median_value,renter_occupied_units,rent_occ_median_rent,vacant_housing_units,occ_units_paying_rent,homeowner_vacancy_rate,rental_vacancy_rate,median_rooms,no_bedrooms,1_bedroom,2_bedrooms,3_bedrooms,4_bedrooms,5_or_more_bedrooms,avg_household_size_own_occ_unit,avg_household_size_rent_occ_unit
8600000US10014,2011,Manhattan,10014,21394.0,18768.0,5109.0,945900.0,13659.0,2000.0,2626.0,13167.0,1.0,1.3,2.9,4614.0,10363.0,4599.0,1116.0,543.0,159.0,1.88,1.57
8600000US10016,2011,Manhattan,10016,33954.0,29292.0,8187.0,759300.0,21105.0,2000.0,4662.0,20626.0,2.1,2.0,2.9,7378.0,17437.0,6716.0,1958.0,304.0,161.0,1.85,1.75
8600000US10017,2011,Manhattan,10017,13052.0,10045.0,3454.0,686100.0,6591.0,1988.0,3007.0,6409.0,4.7,3.1,2.7,3578.0,6412.0,2218.0,719.0,89.0,36.0,1.63,1.48
8600000US10018,2011,Manhattan,10018,3159.0,2601.0,384.0,816700.0,2217.0,2000.0,558.0,2171.0,4.8,2.5,2.9,540.0,1742.0,709.0,89.0,46.0,33.0,1.70,1.88
8600000US10019,2011,Manhattan,10019,30376.0,24103.0,4715.0,800800.0,19388.0,1803.0,6273.0,18894.0,2.5,1.9,2.9,6771.0,15223.0,6904.0,1213.0,136.0,129.0,1.59,1.70
8600000US10020,2011,Manhattan,10020,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10021,2011,Manhattan,10021,29131.0,23232.0,9527.0,1000000.0,13705.0,1843.0,5899.0,13179.0,4.0,6.3,3.1,4709.0,12531.0,7538.0,3099.0,752.0,502.0,1.92,1.65
8600000US10022,2011,Manhattan,10022,22901.0,17337.0,7964.0,855100.0,9373.0,2000.0,5564.0,8999.0,2.5,4.7,3.3,3737.0,10375.0,6659.0,1563.0,372.0,195.0,1.68,1.63
8600000US10023,2011,Manhattan,10023,39823.0,32500.0,12451.0,889100.0,20049.0,1878.0,7323.0,19550.0,1.3,5.3,3.2,7008.0,17688.0,10275.0,3609.0,852.0,391.0,1.96,1.68
8600000US10024,2011,Manhattan,10024,34116.0,30055.0,10351.0,1000000.0,19704.0,1777.0,4061.0,19166.0,3.5,3.4,3.5,4251.0,13553.0,9903.0,4057.0,1660.0,692.0,2.30,1.80
8600000US10025,2011,Manhattan,10025,47418.0,43174.0,9319.0,900900.0,33855.0,1277.0,4244.0,33139.0,5.6,3.4,3.6,6257.0,16682.0,15264.0,7229.0,1498.0,488.0,2.24,2.02
8600000US10026,2011,Manhattan,10026,16230.0,14169.0,2414.0,576000.0,11755.0,875.0,2061.0,11649.0,2.2,6.8,3.8,1126.0,4854.0,6800.0,2505.0,639.0,306.0,2.45,2.48
8600000US10027,2011,Manhattan,10027,26176.0,22827.0,2876.0,663800.0,19951.0,849.0,3349.0,19430.0,4.7,5.7,3.8,1963.0,7710.0,11068.0,4017.0,959.0,459.0,2.41,2.25
8600000US10028,2011,Manhattan,10028,27941.0,24373.0,8483.0,1000000.0,15890.0,1881.0,3568.0,15428.0,1.9,2.8,3.3,4884.0,11717.0,7256.0,2836.0,847.0,401.0,2.15,1.70
8600000US10029,2011,Manhattan,10029,31527.0,29139.0,1706.0,841400.0,27433.0,729.0,2388.0,27186.0,4.8,2.8,3.5,3196.0,9562.0,12731.0,5129.0,703.0,206.0,2.53,2.61
8600000US10030,2011,Manhattan,10030,13964.0,12004.0,1549.0,642000.0,10455.0,742.0,1960.0,10293.0,5.2,3.8,3.6,1583.0,4546.0,4938.0,1829.0,706.0,362.0,2.45,2.38
8600000US10031,2011,Manhattan,10031,22972.0,20477.0,2355.0,419700.0,18122.0,998.0,2495.0,17539.0,5.5,2.1,4.0,1967.0,5946.0,7672.0,4970.0,1622.0,795.0,2.64,2.88
8600000US10032,2011,Manhattan,10032,21500.0,20311.0,1572.0,394600.0,18739.0,977.0,1189.0,18207.0,9.1,1.7,4.0,1142.0,6254.0,8392.0,4433.0,920.0,359.0,2.34,3.08
8600000US10033,2011,Manhattan,10033,20451.0,19188.0,1929.0,448700.0,17259.0,1065.0,1263.0,16862.0,3.4,1.1,4.0,1026.0,6630.0,7487.0,4488.0,686.0,134.0,2.25,3.05
8600000US10034,2011,Manhattan,10034,15994.0,15073.0,1390.0,352200.0,13683.0,1031.0,921.0,13310.0,2.3,1.1,3.5,746.0,7973.0,5734.0,1414.0,94.0,33.0,2.20,2.76
8600000US10035,2011,Manhattan,10035,13608.0,12209.0,942.0,457300.0,11267.0,621.0,1399.0,11229.0,14.2,5.6,3.7,1406.0,4172.0,5454.0,2058.0,356.0,162.0,2.42,2.66
8600000US10036,2011,Manhattan,10036,15639.0,13537.0,1483.0,798600.0,12054.0,1454.0,2102.0,11824.0,1.2,4.7,2.8,4095.0,7988.0,3055.0,407.0,68.0,26.0,1.73,1.61
8600000US10037,2011,Manhattan,10037,9449.0,8434.0,778.0,277300.0,7656.0,847.0,1015.0,7598.0,0.0,3.3,3.3,1249.0,4167.0,2957.0,995.0,67.0,14.0,2.17,2.01
8600000US10038,2011,Manhattan,10038,9404.0,8448.0,1666.0,637800.0,6782.0,1411.0,956.0,6625.0,4.3,4.9,3.4,1273.0,3631.0,2971.0,1293.0,194.0,42.0,2.04,2.14
8600000US10039,2011,Manhattan,10039,11071.0,9996.0,1408.0,377100.0,8588.0,740.0,1075.0,8433.0,3.4,1.8,3.8,474.0,3200.0,5443.0,1672.0,205.0,77.0,2.17,2.56
8600000US10040,2011,Manhattan,10040,16548.0,15693.0,1522.0,324200.0,14171.0,1046.0,855.0,13921.0,3.2,0.9,3.4,939.0,8492.0,5128.0,1779.0,95.0,115.0,2.00,2.79
8600000US10044,2011,Manhattan,10044,4557.0,4001.0,308.0,461900.0,3693.0,1931.0,556.0,3597.0,0.0,3.0,3.4,642.0,1730.0,1406.0,758.0,21.0,0.0,2.49,2.36
8600000US10065,2011,Manhattan,10065,23760.0,17789.0,5504.0,1000000.0,12285.0,1887.0,5971.0,11715.0,3.5,8.0,3.2,3444.0,10676.0,6631.0,1943.0,781.0,285.0,1.95,1.72
8600000US10069,2011,Manhattan,10069,3246.0,2663.0,670.0,1000000.0,1993.0,2000.0,583.0,1993.0,0.0,1.8,3.2,274.0,1709.0,951.0,222.0,25.0,65.0,2.29,1.85
8600000US10075,2011,Manhattan,10075,16996.0,14206.0,6610.0,882100.0,7596.0,1743.0,2790.0,7430.0,2.5,4.6,3.2,2443.0,7288.0,4525.0,2002.0,627.0,111.0,1.96,1.66
8600000US10103,2011,Manhattan,10103,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10110,2011,Manhattan,10110,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10111,2011,Manhattan,10111,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10112,2011,Manhattan,10112,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10115,2011,Manhattan,10115,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10119,2011,Manhattan,10119,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10128,2011,Manhattan,10128,35449.0,31098.0,9539.0,1000000.0,21559.0,1814.0,4351.0,21293.0,2.1,3.7,3.2,4884.0,16272.0,8958.0,3629.0,1378.0,328.0,2.18,1.74
8600000US10152,2011,Manhattan,10152,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10153,2011,Manhattan,10153,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10154,2011,Manhattan,10154,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10162,2011,Manhattan,10162,836.0,793.0,0.0,,793.0,2000.0,43.0,768.0,,0.0,3.3,43.0,398.0,269.0,126.0,0.0,0.0,,2.03
8600000US10165,2011,Manhattan,10165,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10167,2011,Manhattan,10167,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10168,2011,Manhattan,10168,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10169,2011,Manhattan,10169,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10170,2011,Manhattan,10170,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10171,2011,Manhattan,10171,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10172,2011,Manhattan,10172,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10173,2011,Manhattan,10173,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10174,2011,Manhattan,10174,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
8600000US10177,2011,Manhattan,10177,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
