zip_code,state,city,borough,date,home_value
10038,NY,New York,MANHATTAN,2018-03-31,1309760.0
10471,NY,New York,BRONX,2018-03-31,637470.0
10310,NY,New York,STATEN_ISLAND,2018-03-31,519333.0
11692,NY,New York,QUEENS,2018-03-31,368701.0
10012,NY,New York,MANHATTAN,2018-03-31,2278492.0
11426,NY,New York,QUEENS,2018-03-31,598558.0
11694,NY,New York,QUEENS,2018-03-31,747952.0
11411,NY,New York,QUEENS,2018-03-31,482284.0
11428,NY,New York,QUEENS,2018-03-31,549768.0
11436,NY,New York,QUEENS,2018-03-31,474375.0
11360,NY,New York,QUEENS,2018-03-31,658762.0
11362,NY,New York,QUEENS,2018-03-31,871815.0
10302,NY,New York,STATEN_ISLAND,2018-03-31,453368.0
11415,NY,New York,QUEENS,2018-03-31,466295.0
10470,NY,New York,BRONX,2018-03-31,464572.0
10017,NY,New York,MANHATTAN,2018-03-31,934000.0
11239,NY,New York,BROOKLYN,2018-03-31,434359.0
11366,NY,New York,QUEENS,2018-03-31,889686.0
11004,NY,New York,QUEENS,2018-03-31,612932.0
10307,NY,New York,STATEN_ISLAND,2018-03-31,625887.0
10044,NY,New York,MANHATTAN,2018-03-31,1044084.0
11693,NY,New York,QUEENS,2018-03-31,420719.0
10018,NY,New York,MANHATTAN,2018-03-31,1457308.0
10007,NY,New York,MANHATTAN,2018-03-31,2993574.0
10280,NY,New York,MANHATTAN,2018-03-31,1000666.0
11363,NY,New York,QUEENS,2018-03-31,1034548.0
10005,NY,New York,MANHATTAN,2018-03-31,1200051.0
10282,NY,New York,MANHATTAN,2018-03-31,2382160.0
10069,NY,New York,MANHATTAN,2018-03-31,2132537.0
10464,NY,New York,BRONX,2018-03-31,506632.0
10004,NY,New York,MANHATTAN,2018-03-31,1238787.0
10006,NY,New York,MANHATTAN,2018-03-31,1003517.0
11243,NY,New York,BROOKLYN,2018-03-31,1413160.0
10118,NY,New York,MANHATTAN,2018-03-31,3294154.0
11368,NY,New York,QUEENS,2018-04-30,546529.0
11385,NY,New York,QUEENS,2018-04-30,690318.0
11236,NY,New York,BROOKLYN,2018-04-30,507644.0
11208,NY,New York,BROOKLYN,2018-04-30,513278.0
10467,NY,New York,BRONX,2018-04-30,356796.0
11226,NY,New York,BROOKLYN,2018-04-30,770021.0
11373,NY,New York,QUEENS,2018-04-30,561963.0
11234,NY,New York,BROOKLYN,2018-04-30,614002.0
11220,NY,New York,BROOKLYN,2018-04-30,735250.0
11207,NY,New York,BROOKLYN,2018-04-30,433827.0
11214,NY,New York,BROOKLYN,2018-04-30,640887.0
10025,NY,New York,MANHATTAN,2018-04-30,1034364.0
10456,NY,New York,BRONX,2018-04-30,352563.0
10314,NY,New York,STATEN_ISLAND,2018-04-30,535514.0
11219,NY,New York,BROOKLYN,2018-04-30,828414.0
11221,NY,New York,BROOKLYN,2018-04-30,1017113.0
10458,NY,New York,BRONX,2018-04-30,345663.0
11235,NY,New York,BROOKLYN,2018-04-30,575267.0
11223,NY,New York,BROOKLYN,2018-04-30,881172.0
11377,NY,New York,QUEENS,2018-04-30,769077.0
11206,NY,New York,BROOKLYN,2018-04-30,930592.0
10453,NY,New York,BRONX,2018-04-30,435414.0
11229,NY,New York,BROOKLYN,2018-04-30,669473.0
11355,NY,New York,QUEENS,2018-04-30,663529.0
11204,NY,New York,BROOKLYN,2018-04-30,896912.0
11230,NY,New York,BROOKLYN,2018-04-30,984518.0
11233,NY,New York,BROOKLYN,2018-04-30,745226.0
10468,NY,New York,BRONX,2018-04-30,254262.0
10457,NY,New York,BRONX,2018-04-30,401134.0
10452,NY,New York,BRONX,2018-04-30,430020.0
10462,NY,New York,BRONX,2018-04-30,157829.0
10029,NY,New York,MANHATTAN,2018-04-30,941773.0
11218,NY,New York,BROOKLYN,2018-04-30,903318.0
10469,NY,New York,BRONX,2018-04-30,456129.0
10466,NY,New York,BRONX,2018-04-30,436411.0
11203,NY,New York,BROOKLYN,2018-04-30,534926.0
11212,NY,New York,BROOKLYN,2018-04-30,441913.0
10002,NY,New York,MANHATTAN,2018-04-30,835636.0
11375,NY,New York,QUEENS,2018-04-30,804805.0
10463,NY,New York,BRONX,2018-04-30,345020.0
11215,NY,New York,BROOKLYN,2018-04-30,1408289.0
10472,NY,New York,BRONX,2018-04-30,428319.0
11691,NY,New York,QUEENS,2018-04-30,491376.0
11213,NY,New York,BROOKLYN,2018-04-30,968228.0
11210,NY,New York,BROOKLYN,2018-04-30,753330.0
11209,NY,New York,BROOKLYN,2018-04-30,884311.0
10027,NY,New York,MANHATTAN,2018-04-30,987487.0
11211,NY,New York,BROOKLYN,2018-04-30,989944.0
11372,NY,New York,QUEENS,2018-04-30,444795.0
10312,NY,New York,STATEN_ISLAND,2018-04-30,559435.0
11201,NY,New York,BROOKLYN,2018-04-30,1253771.0
10032,NY,New York,MANHATTAN,2018-04-30,511990.0
10023,NY,New York,MANHATTAN,2018-04-30,1497514.0
11434,NY,New York,QUEENS,2018-04-30,499318.0
11432,NY,New York,QUEENS,2018-04-30,798805.0
10128,NY,New York,MANHATTAN,2018-04-30,1108430.0
11238,NY,New York,BROOKLYN,2018-04-30,1227877.0
10473,NY,New York,BRONX,2018-04-30,383835.0
11216,NY,New York,BROOKLYN,2018-04-30,1094388.0
10009,NY,New York,MANHATTAN,2018-04-30,1128531.0
11435,NY,New York,QUEENS,2018-04-30,516310.0
10024,NY,New York,MANHATTAN,2018-04-30,1785433.0
11225,NY,New York,BROOKLYN,2018-04-30,1197812.0
10033,NY,New York,MANHATTAN,2018-04-30,656851.0
10460,NY,New York,BRONX,2018-04-30,414732.0
10031,NY,New York,MANHATTAN,2018-04-30,775860.0
11354,NY,New York,QUEENS,2018-04-30,647025.0
10003,NY,New York,MANHATTAN,2018-04-30,1427307.0
10306,NY,New York,STATEN_ISLAND,2018-04-30,566644.0
10016,NY,New York,MANHATTAN,2018-04-30,1098912.0
10451,NY,New York,BRONX,2018-04-30,257928.0
10011,NY,New York,MANHATTAN,2018-04-30,2047600.0
11420,NY,New York,QUEENS,2018-04-30,530274.0
10459,NY,New York,BRONX,2018-04-30,365346.0
10461,NY,New York,BRONX,2018-04-30,479978.0
11419,NY,New York,QUEENS,2018-04-30,545311.0
11237,NY,New York,BROOKLYN,2018-04-30,789507.0
10028,NY,New York,MANHATTAN,2018-04-30,1660744.0
11228,NY,New York,BROOKLYN,2018-04-30,941275.0
11205,NY,New York,BROOKLYN,2018-04-30,839863.0
10040,NY,New York,MANHATTAN,2018-04-30,568636.0
11413,NY,New York,QUEENS,2018-04-30,493456.0
10305,NY,New York,STATEN_ISLAND,2018-04-30,543525.0
11224,NY,New York,BROOKLYN,2018-04-30,599703.0
11365,NY,New York,QUEENS,2018-04-30,823971.0
11374,NY,New York,QUEENS,2018-04-30,570134.0
10465,NY,New York,BRONX,2018-04-30,462662.0
10019,NY,New York,MANHATTAN,2018-04-30,1385934.0
10455,NY,New York,BRONX,2018-04-30,335251.0
10475,NY,New York,BRONX,2018-04-30,435064.0
10034,NY,New York,MANHATTAN,2018-04-30,446729.0
